Plot_ID,Type,Plot_Haglof,Plot_Radius,Tree_Nr,Tree_Spc,Strata,Tree_Dia,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,,,,,,,,,
T2,Treatment,504,7.89,31,PIST,Sub,32,343,509,540,-3.51,-2.98,4.61,229.65,-4,45.558354,-84.6957544,,,,,,,,,
T2,Treatment,504,7.89,32,PIST,Sub,34,176,322,385,-1.81,-2.22,2.86,219.19,1,45.5583604,-84.6957323,,,,,,,,,
T2,Treatment,504,7.89,33,PIST,Sub,22,46,157,188,-0.53,-0.73,0.9,215.98,3,45.5583735,-84.6957154,,,,,,,,,
T2,Treatment,504,7.89,34,PIST,Sub,30,272,395,477,-2.03,-3.17,3.76,212.63,-3,45.5583519,-84.6957355,,,,,,,,,
T2,Treatment,504,7.89,35,ACRU,Can,88,285,391,484,-1.72,-3.37,3.78,207.04,2,45.55835,-84.6957316,,,,,,,,,
T2,Treatment,504,7.89,36,PIST,Sub,21,492,641,696,-4.14,-4.45,6.08,222.94,4,45.5583409,-84.695763,,,,,,,,,
T2,Treatment,504,7.89,37,PIRE,Can,104,524,658,730,-3.85,-5.01,6.32,217.57,9,45.5583358,-84.6957595,,,,,,,,,
T2,Treatment,504,7.89,38,PIST,Sub,15,486,617,712,-3.41,-4.94,6,214.62,0,45.5583363,-84.6957538,,,,,,,,,
T2,Treatment,504,7.89,39,PIST,Sub,15,485,544,673,-1.51,-5.46,5.66,195.45,-7,45.5583312,-84.6957297,,,,,,,,,
T2,Treatment,504,7.89,40,PIST,Sub,11,416,471,602,-1.19,-4.8,4.95,193.92,-7,45.558337,-84.6957253,,,,,,,,,
T2,Treatment,504,7.89,41,PIST,Sub,36,237,254,399,-0.15,-2.87,2.87,182.99,-1,45.5583541,-84.6957113,,,,,,,,,
T2,Treatment,504,7.89,42,PIST,Sub,32,390,337,521,1.03,-3.98,4.11,165.49,-1,45.5583438,-84.6956966,,,,,,,,,
T2,Treatment,504,7.89,43,PIST,Sub,36,508,437,631,1.73,-4.92,5.21,160.63,2,45.5583352,-84.695688,,,,,,,,,
T2,Treatment,504,7.89,44,PIST,Sub,9,517,441,636,1.88,-4.96,5.3,159.24,-1,45.5583348,-84.6956861,,,,,,,,,
T2,Treatment,504,7.89,45,PIST,Sub,40,513,399,599,2.67,-4.24,5.01,147.8,2,45.5583411,-84.6956757,,,,,,,,,
T2,Treatment,504,7.89,46,ACRU,Sub,58,321,188,388,1.77,-2.32,2.92,142.78,4,45.5583585,-84.6956866,,,,,,,,,
T2,Treatment,504,7.89,47,ACRU,Can,258,326,194,392,1.81,-2.24,2.88,141.03,-6,45.5583593,-84.695686,,,,,,,,,
T2,Treatment,504,7.89,48,ACRU,Can,99,569,372,507,4.74,-0.66,4.78,97.91,4,45.5583727,-84.6956479,,,,,,,,,
T2,Treatment,504,7.89,49,ACRU,Can,76,563,365,486,4.68,-0.23,4.68,92.81,-2,45.5583766,-84.6956485,,,,,,,,,
T2,Treatment,504,7.89,50,PIST,Sub,22,508,310,450,4.15,-0.7,4.21,99.55,4,45.5583725,-84.6956555,,,,,,,,,
T2,Treatment,504,7.89,51,PIST,Sub,23,379,185,360,2.83,-1.15,3.05,112.11,-1,45.5583688,-84.6956725,,,,,,,,,
T2,Treatment,504,7.89,52,PIST,Sub,31,395,199,326,3.01,-0.19,3.01,93.59,-7,45.5583774,-84.6956699,,,,,,,,,
T2,Treatment,504,7.89,53,PIST,Sub,9,461,265,389,3.69,-0.21,3.7,93.25,4,45.5583771,-84.6956612,,,,,,,,,
T2,Treatment,504,7.89,54,PIST,Sub,27,302,122,220,2,0.22,2.01,83.75,5,45.5583813,-84.6956826,,,,,,,,,
T2,Treatment,504,7.89,55,PIST,Sub,10,601,434,454,4.47,2.11,4.95,64.71,-9,45.5583977,-84.6956503,,,,,,,,,
T2,Treatment,504,7.89,56,PIST,Sub,20,513,331,392,3.95,1.04,4.09,75.22,-7,45.5583882,-84.6956574,,,,,,,,,
T2,Treatment,504,7.89,57,PIST,Sub,16,467,296,336,3.4,1.25,3.62,69.83,-8,45.5583902,-84.6956644,,,,,,,,,
T3,Treatment,505,7.89,1,PIST,Sub,25,168,239,73,-0.8,1.1,1.36,323.97,2,45.5585703,-84.6955792,,,,,,,,,
T3,Treatment,505,7.89,2,QURU,Can,292,166,243,93,-0.99,0.89,1.33,311.96,2,45.5585684,-84.6955817,,,,,,,,,
T3,Treatment,505,7.89,3,QURU,Can,269,122,233,130,-1.16,0.43,1.24,290.18,7,45.5585643,-84.695584,,,,,,,,,
T3,Treatment,505,7.89,4,PIST,Sub,56,504,458,308,1.1,4.06,4.21,15.16,1,45.5585964,-84.6955538,,,,,,,,,
T3,Treatment,505,7.89,5,ACRU,Sub,58,550,427,365,3,3.26,4.43,42.63,-4,45.5585887,-84.6955297,,,,,,,,,
T3,Treatment,505,7.89,6,PIST,Sub,37,361,515,344,-3.34,2.23,4.01,303.73,11,45.5585811,-84.6956112,,,,,,,,,
T3,Treatment,505,7.89,7,PIST,Can,83,611,799,655,-6.51,2.09,6.84,287.77,3,45.5585806,-84.6956519,,,,,,,,,
T3,Treatment,505,7.89,8,PIST,Sub,26,476,662,522,-5.25,1.65,5.5,287.48,5,45.5585764,-84.6956359,,,,,,,,,
T3,Treatment,505,7.89,9,PIST,Sub,8,498,692,588,-5.91,0.51,5.93,274.92,4,45.5585663,-84.6956448,,,,,,,,,
T3,Treatment,505,7.89,10,PIST,Sub,31,392,591,537,-4.9,-1.15,5.04,256.79,7,45.5585511,-84.6956325,,,,,,,,,
T3,Treatment,505,7.89,11,QURU,Can,238,267,464,376,-3.55,-0.1,3.55,268.39,0,45.5585602,-84.6956148,,,,,,,,,
T3,Treatment,505,7.89,12,QURU,Can,386,255,454,428,-3.24,-1.53,3.58,244.72,-2,45.5585473,-84.6956114,,,,,,,,,
T3,Treatment,505,7.89,13,FAGR,Sub,39,429,548,629,-2.88,-4.48,5.33,212.68,-3,45.5585206,-84.6956078,,,,,,,,,
T3,Treatment,505,7.89,14,PIST,Sub,61,427,515,621,-2.03,-4.76,5.18,203.05,3,45.5585178,-84.695597,,,,,,,,,
T3,Treatment,505,7.89,15,FAGR,Sub,39,401,411,583,-0.14,-4.59,4.59,181.75,-2,45.5585189,-84.6955728,,,,,,,,,
T3,Treatment,505,7.89,16,QURU,Can,256,286,312,452,-0.21,-3.33,3.33,183.61,3,45.5585303,-84.6955732,,,,,,,,,
T3,Treatment,505,7.89,17,ACRU,Can,127,204,207,351,0.08,-2.37,2.37,178.07,1,45.5585388,-84.6955692,,,,,,,,,
T3,Treatment,505,7.89,18,ACRU,Can,98,160,282,355,-1.28,-2.2,2.54,210.19,3,45.5585407,-84.6955865,,,,,,,,,
T3,Treatment,505,7.89,19,PIST,Sub,49,59,165,220,-0.55,-1.05,1.19,207.42,6,45.5585508,-84.6955767,,,,,,,,,
T3,Treatment,505,7.89,20,ACRU,Sub,35,646,443,561,5.49,-0.21,5.49,92.19,-4,45.5585569,-84.6954992,,,,,,,,,
T3,Treatment,505,7.89,21,ACRU,Sub,42,667,465,597,5.7,-0.7,5.74,96.99,3,45.5585524,-84.6954966,,,,,,,,,
T3,Treatment,505,7.89,22,ACRU,Can,126,544,345,504,4.41,-1.25,4.58,105.83,-1,45.5585478,-84.6955133,,,,,,,,,
T3,Treatment,505,7.89,23,ACRU,Can,140,567,365,515,4.65,-1,4.76,102.14,1,45.55855,-84.6955102,,,,,,,,,
T3,Treatment,505,7.89,24,QURU,Can,166,574,373,515,4.73,-0.77,4.79,99.25,1,45.558552,-84.6955091,,,,,,,,,
